deep bits=128 reference_cache=miss reference_lanes=32 reference_GPU_ms=41.562 reference_wall_ms=46.240 pixels_wall_ms=75.761 repairs=0 repair_GPU_ms=0.009 batch_wall_ms=122.845
Mandelbrot completed 256x256 frame: Bend Metal GPU (fractal dispatch verified); device=Apple M4 Pro; 122.638 ms
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.235 pixels_wall_ms=26.212 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=26.665
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.019 pixels_wall_ms=25.968 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=26.167
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=26.212 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=26.416
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=25.847 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=26.051
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=26.130 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=26.324
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=25.975 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.160
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=23.541 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=23.764
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.022 pixels_wall_ms=14.694 repairs=0 repair_GPU_ms=0.010 batch_wall_ms=14.903
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.018 pixels_wall_ms=10.546 repairs=0 repair_GPU_ms=0.009 batch_wall_ms=10.786
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.013 pixels_wall_ms=26.203 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.401
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=26.350 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.551
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.013 pixels_wall_ms=26.577 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=26.770
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=25.978 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.163
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.013 pixels_wall_ms=26.182 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.378
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=14.796 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=14.977
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=14.543 repairs=0 repair_GPU_ms=0.012 batch_wall_ms=14.719
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.014 pixels_wall_ms=14.641 repairs=0 repair_GPU_ms=0.019 batch_wall_ms=14.836
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=10.180 repairs=0 repair_GPU_ms=0.008 batch_wall_ms=10.352
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=26.386 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.618
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=26.321 repairs=0 repair_GPU_ms=0.011 batch_wall_ms=26.523
