deep bits=128 reference_cache=miss reference_lanes=32 reference_GPU_ms=30.230 reference_wall_ms=34.242 pixels_wall_ms=62.749 repairs=0 repair_GPU_ms=0.009 prepack_wall_ms=98.765
Mandelbrot completed 256x256 frame: Bend Metal GPU (fractal dispatch verified); device=Apple M4 Pro; 98.563 ms
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.235 pixels_wall_ms=14.759 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=15.237
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=14.175 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=14.400
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.020 pixels_wall_ms=14.320 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.510
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.017 pixels_wall_ms=14.410 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=14.609
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.015 pixels_wall_ms=14.678 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.856
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.016 pixels_wall_ms=14.286 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=14.465
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.013 pixels_wall_ms=12.849 repairs=0 repair_GPU_ms=0.011 prepack_wall_ms=13.142
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.021 pixels_wall_ms=8.791 repairs=0 repair_GPU_ms=0.010 prepack_wall_ms=8.977
deep bits=128 reference_cache=hit reference_lanes=32 reference_GPU_ms=0.000 reference_wall_ms=0.013 pixels_wall_ms=6.562 repairs=0 repair_GPU_ms=0.008 prepack_wall_ms=6.729
